state	n	men	women	year
aguascalientes	1425607	696683	728924	2020
baja_california	3769020	1900589	1868431	2020
baja_california_sur	798447	405879	392568	2020
campeche	928363	456939	471424	2020
coahuila	3146771	1563669	1583102	2020
colima	731391	360622	370769	2020
chiapas	5543828	2705947	2837881	2020
chihuahua	3741869	1853822	1888047	2020
ciudad_mexico	9209944	4404927	4805017	2020
durango	1832650	904866	927784	2020
guanajuato	6166934	2996454	3170480	2020
guerrero	3540685	1700612	1840073	2020
hidalgo	3082841	1481379	1601462	2020
jalisco	8348151	4098455	4249696	2020
estado_mexico	16992418	8251295	8741123	2020
michoacan	4748846	2306341	2442505	2020
morelos	1971520	950847	1020673	2020
nayarit	1235456	612278	623178	2020
nuevo_leon	5784442	2890950	2893492	2020
oaxaca	4132148	1974843	2157305	2020
puebla	6583278	3160115	3423163	2020
queretaro	2368467	1156820	1211647	2020
quintana_roo	1857985	936779	921206	2020
san_luis_potosi	2822255	1372451	1449804	2020
sinaloa	3026943	1494815	1532128	2020
sonora	2944840	1472197	1472643	2020
tabasco	2402598	1173671	1228927	2020
tamaulipas	3527735	1736140	1791595	2020
tlaxcala	1342977	649894	693083	2020
veracruz	8062579	3871774	4190805	2020
yucatan	2320898	1140279	1180619	2020
zacatecas	1622138	791058	831080	2020
